,fraudulent,paymentMethodId,paymentMethodIssuer,paymentMethodProvider,paymentMethodRegistrationFailure,paymentMethodType,orderId,orderAmount,orderShippingAddress,orderState,transactionFailed
0,False,wt07xm68b,Citizens First Banks,JCB 16 digit,True,card,vjbdvd,18,"5493 Jones Islands
Brownside, CA 51896",pending,False
1,False,wt07xm68b,Citizens First Banks,JCB 16 digit,True,card,yp6x27,26,"5493 Jones Islands
Brownside, CA 51896",fulfilled,False
2,True,y3xp697jx,Solace Banks,VISA 16 digit,True,bitcoin,nlghpa,45,"898 Henry Ports
New Keithview, CA 95893-2497",fulfilled,False
3,True,6krszxc05,Vertex Bancorp,VISA 16 digit,False,card,uw0eeb,23,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",fulfilled,False
4,True,5z1szj2he,His Majesty Bank Corp.,Diners Club / Carte Blanche,False,card,bn44oh,43,"5093 Bryan Forks
Joshuaton, FM 01565-9801",fulfilled,True
5,False,8pneoi03z,Bastion Banks,JCB 16 digit,False,card,yk34y2,33,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",failed,False
6,False,8pneoi03z,Bastion Banks,JCB 16 digit,False,card,28v6b0,24,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",fulfilled,True
7,False,8pneoi03z,Bastion Banks,JCB 16 digit,False,card,itnk8y,25,"22396 Victor Lights
Carsonstad, MO 93914",fulfilled,False
8,False,pdxjdwui4,Grand Credit Corporation,Voyager,False,card,fbz9ep,34,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",fulfilled,False
9,False,pdxjdwui4,Grand Credit Corporation,Voyager,False,card,7odnn6,26,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",fulfilled,False
10,False,pdxjdwui4,Grand Credit Corporation,Voyager,False,card,audx7o,25,"428 Ricardo Mountain
Port Lorihaven, UT 07665-3981",fulfilled,False
11,True,w1i1zq3rg,Grand Credit Corporation,American Express,False,apple pay,56h7iw,71,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",fulfilled,False
